,Products,Reciept_ID,Serial No.,Quantity,Sales Price,Unit Price,Cost_Price,Date and Time
19,"3PC HOUSEHOLD CANDLE 8""",0000101,144521,82,7775,94.8170731707317,90.07621951219512,01/04/2018 08:42 AM
20,ORIGINAL PROTECTANT 4 OZ AA,0000101,113199,75,5805,77.4,73.53,01/06/2018 05:47 PM
21,MENS TROUSER MICROFIBER A-1207,0000102,133859,47,1691,35.97872340425532,34.17978723404255,01/06/2018 05:47 PM
22,SKIRT AS/APP MATCHING FAB,0000102,145804,34,2685,78.97058823529412,75.0220588235294,01/06/2018 05:47 PM
23,NOKIA 2330,0000102,141971,49,1635,33.36734693877551,31.698979591836736,01/06/2018 05:47 PM
24,FLORAL PANT,0000102,113074,13,1654,127.23076923076923,120.86923076923077,01/06/2018 05:47 PM
25,MENS TROUSER FRENCH TERRY,0000102,135224,87,5531,63.57471264367816,60.39597701149425,01/12/2018 05:29 PM
26,"4PC 14"" DINNER CANDLE",0000103,149069,92,3674,39.93478260869565,37.938043478260866,01/12/2018 05:29 PM
27,"PANASONIC 42"" PLASMA TH-42PV7",0000103,113333,91,1226,13.472527472527473,12.7989010989011,01/12/2018 05:29 PM
28,PANASONIC MINI DV GS-60,0000103,171685,4,3836,959.0,911.05,01/12/2018 05:29 PM
29,FLINE FACE TOWEL 30X50 COFFEE,0000103,113356,79,7167,90.72151898734177,86.18544303797468,01/12/2018 05:29 PM
30,"AT1.6,1GB,160GB,WIFI,10.1"",XPH",0000104,131266,93,8785,94.46236559139786,89.73924731182797,01/12/2018 05:29 PM
31,EPSON LQ300+II DOT MATRIX PRINTER,0000105,131068,36,6648,184.66666666666666,175.43333333333334,01/12/2018 05:29 PM
32,B&D 600W DUST BLOWER VARIABLE SPD,0000105,107633,39,8957,229.66666666666666,218.18333333333334,01/12/2018 05:29 PM
33,NOKIA 6500 CLASSIC CELL PHONE,0000105,135073,29,3099,106.86206896551724,101.51896551724138,01/12/2018 05:29 PM
34,AMOS I DOUGH 8 COLORS,0000105,130372,32,904,28.25,26.8375,01/13/2018 08:02 PM
35,PANASONIC HIFI SC VK-31,0000105,113325,66,1791,27.136363636363637,25.779545454545456,01/13/2018 08:02 PM
36,T-SHIRT H/S C/F,0000105,135222,47,2775,59.04255319148936,56.090425531914896,01/13/2018 08:02 PM
37,RIZVI SPIRAL NOTECOPY #2,0000106,118604,11,7171,651.9090909090909,619.3136363636363,01/13/2018 08:02 PM
38,MENS SHORTS,0000106,122711,73,7373,101.0,95.95,01/13/2018 08:02 PM
39,"AT1.6,1GB,160GB,WIFI,10.1"",XP,",0000106,102953,81,7579,93.5679012345679,88.8895061728395,01/13/2018 08:02 PM
40,B&D HAMMER DRILL 500W 13MM,0000106,156032,97,5263,54.25773195876289,51.544845360824745,01/13/2018 08:02 PM
41,PANASONIC HIFI CS-VK950,0000106,124247,78,4389,56.26923076923077,53.45576923076923,01/13/2018 08:02 PM
42,SKIDS BOYS WOVEN SHRT BLE 5-12,0000107,111854,27,4038,149.55555555555554,142.07777777777775,01/13/2018 08:02 PM
43,PANT OF FABRIC COMBO -1,0000107,151021,11,3503,318.45454545454544,302.53181818181815,01/13/2018 09:55 AM
44,T.SHIRT,0000107,122706,61,7841,128.54098360655738,122.1139344262295,01/13/2018 09:55 AM
45,PANASONIC HIFI CS-VK750,0000107,124249,55,7631,138.74545454545455,131.80818181818182,01/13/2018 09:55 AM
46,T1 130GM FORTIGROW NIDO,0000107,213150,56,8702,155.39285714285714,147.62321428571428,01/13/2018 09:55 AM
47,2 KG UP SINGHARI (FRESH WATER),0000107,161321,67,7917,118.16417910447761,112.25597014925373,01/13/2018 09:55 AM
48,1000ML RGB FANTA SHELL + BOTTLES,0000107,107108,50,5479,109.58,104.101,01/16/2018 12:43 PM
49,RIZVI SPIRAL SUBJECT COPY #3,0000107,120806,20,6234,311.7,296.115,01/16/2018 12:43 PM
50,NOKIA 2310 CELL PHONE,0000107,169657,5,8759,1751.8,1664.21,01/16/2018 12:43 PM
51,3PC PILLAR CANDLE SET M,0000108,146071,40,1529,38.225,36.31375,01/16/2018 12:43 PM
52,HERO CARD COPY 44 PAGES,0000108,130365,71,3796,53.46478873239437,50.79154929577465,01/16/2018 12:43 PM
53,SKIDS BOYS SHIRT R-NCK YL 5-12,0000108,111838,77,8032,104.31168831168831,99.0961038961039,01/17/2018 10:08 PM
54,BASIC SHORT SLV CREW NECK T-SH,0000109,111761,7,6026,860.8571428571429,817.8142857142857,01/17/2018 10:08 PM
55,2 KG UP SINGHARI (FRESH WATER),0000109,161321,30,5935,197.83333333333334,187.94166666666666,01/17/2018 10:08 PM
56,"2GB,320GBHD,15.6"" LED,DVD,BT,C",0000109,135934,73,2307,31.602739726027398,30.02260273972603,01/17/2018 10:08 PM
57,"ATOM,1GB,160GB,DVDRW,WIFI,XP,1",0000109,131270,47,3052,64.93617021276596,61.68936170212766,01/17/2018 10:08 PM
58,SKIDS BOYS SHIRT GREY 5-12YR,0000109,111845,9,5198,577.5555555555555,548.6777777777778,01/18/2018 10:59 PM
59,SLVLESS POLO,0000109,113111,34,7539,221.73529411764707,210.6485294117647,01/18/2018 10:59 PM
60,"DUALCORE,RAM 1GB, MOUSE+KEYBOA",000011,131269,47,4945,105.2127659574468,99.95212765957447,01/18/2018 10:59 PM
61,MICRO FIBRIC JOGGING TRACK SUIT,000011,150545,90,3585,39.833333333333336,37.84166666666667,01/18/2018 10:59 PM
62,"C2D2GHZ,256MB,3GB,BT,VISTA,CAM",000011,126745,71,2346,33.04225352112676,31.390140845070423,01/18/2018 10:59 PM
63,EPSON LQ-2090 DOT MATRIX PRINTER,000011,135887,36,4247,117.97222222222223,112.07361111111112,01/18/2018 10:59 PM
64,SKIDS GIRLS SHIRT FLORAL 5-12Y,000011,111953,65,5136,79.01538461538462,75.0646153846154,01/18/2018 10:59 PM
65,NOKIA 7070 CELL PHONE,0000110,139952,76,6221,81.85526315789474,77.7625,01/18/2018 10:59 PM
66,PEICED KNITTED SHIRTS,0000110,113101,34,1524,44.8235294117647,42.58235294117647,01/20/2018 05:39 PM
67,FLINE FACE TOWEL 30X50CM MIN B,0000110,113348,87,6308,72.50574712643679,68.88045977011495,01/20/2018 05:39 PM
68,"12PC 12"" SPIRAL CANDLE",0000110,150287,19,5693,299.63157894736844,284.65000000000003,01/20/2018 05:39 PM
69,250 ML RGB M.DEW SHELL + BOTTLES,0000111,171684,51,9767,191.50980392156862,181.9343137254902,01/20/2018 05:39 PM
70,NOKIA 5610 CELL PHONE,0000111,133099,98,8754,89.3265306122449,84.86020408163265,01/20/2018 05:39 PM
71,KNITTED SHIRTS,0000111,113157,73,8857,121.32876712328768,115.2623287671233,01/20/2018 05:39 PM
72,ENGINE OIL TREATMENT 15 OZ STP,0000111,126687,15,5265,351.0,333.45,01/20/2018 05:39 PM
73,B&D HAMMER DRILL 650W 13MM,0000111,156033,66,6435,97.5,92.625,01/25/2018 05:21 PM
74,LETTERING STENCIL 50MM 4PCS SET,0000111,130382,63,905,14.365079365079366,13.646825396825397,01/25/2018 05:21 PM
75,T-SHIRT H/S C/F,0000112,135222,17,2464,144.94117647058823,137.69411764705882,01/25/2018 05:21 PM
76,NOKIA 7610 CELL PHONE,0000112,135668,29,9186,316.7586206896552,300.9206896551724,01/25/2018 05:21 PM
77,A5028,0000112,128192,88,4112,46.72727272727273,44.39090909090909,01/25/2018 05:21 PM
78,RED SPRAY PAINT ASMACO,0000112,113203,44,8900,202.27272727272728,192.1590909090909,01/26/2018 10:10 AM
79,"DUALCORE,RAM 1GB, MOUSE+KEYBOA",0000112,131269,46,8066,175.34782608695653,166.5804347826087,01/26/2018 10:10 AM
80,"TM OPTICAL SENSOR USB MOUSE,MOP29",0000112,131277,28,9764,348.7142857142857,331.2785714285714,01/26/2018 10:10 AM
81,L/S RAGLON SHIRT W/CONTRAST BO,0000112,111775,72,9900,137.5,130.625,01/26/2018 10:10 AM
82,LETTERING STENCIL 30MM/1.4,0000113,130381,10,3064,306.4,291.08,01/26/2018 10:10 AM
83,SKIDS GIRLS DENIM DK SKIRT 5-1,0000113,111795,94,3976,42.297872340425535,40.18297872340426,01/29/2018 04:13 PM
84,TOUCHMATE 5.1 DIGITAL SPEAKER,0000113,121871,1,7623,7623.0,7241.85,01/29/2018 04:13 PM
85,SKIDS BOYS SLVLESS SHRT 5-12 Y,0000113,112022,10,9945,994.5,944.775,01/29/2018 11:57 PM
86,MEN A.WAYS THREE QURTER SHORT,0000113,133857,65,3181,48.93846153846154,46.49153846153846,01/29/2018 11:57 PM
87,"C2D2.0,4GB,320GB,BT,VISTA,512M",0000113,126747,60,4065,67.75,64.3625,01/29/2018 11:57 PM
88,"TM MM KEYBOARD PS2/USB,KB8500E",0000114,121867,2,1074,537.0,510.15,01/29/2018 11:57 PM
89,PANT OF FABRIC COMBO -1,0000114,151021,26,7090,272.6923076923077,259.0576923076923,01/29/2018 11:57 PM
90,FIRST AID BOX WTHOUT MEDICINE,0000114,156023,56,2040,36.42857142857143,34.60714285714286,01/29/2018 11:57 PM
91,SALAM SPRIAL NOTE COPY A4 #2,0000115,117802,68,4328,63.64705882352941,60.464705882352945,01/29/2018 11:57 PM
92,SKIDS GIRLS CAPRICE VOILET 5-1,0000115,111824,41,9656,235.5121951219512,223.73658536585364,01/29/2018 11:57 PM
93,"DC2.0,2GB,250GB,BT,15.5"",CAM",0000115,131263,88,3596,40.86363636363637,38.820454545454545,01/30/2018 05:13 AM
94,2.13GH320GB BT WIFI LINUX DVD,0000115,121864,41,7574,184.73170731707316,175.4951219512195,01/30/2018 05:13 AM
95,"C2D, 1GB, 160GB, VISTA BUS., D",0000115,126703,54,31,0.5740740740740741,0.5453703703703704,01/30/2018 05:13 AM
96,MENS SPORTS TROUSER,0000115,171112,57,4289,75.24561403508773,71.48333333333333,01/30/2018 05:13 AM
97,NOKIA 6300 CELL PHONE,0000116,120679,94,7236,76.97872340425532,73.12978723404255,01/30/2018 05:13 AM
98,PEICED T-SHIRT,0000116,113147,29,4785,165.0,156.75,01/30/2018 05:13 AM
99,SNOWMAN PERMANENT MARKER90 RED,0000116,130402,41,4977,121.39024390243902,115.32073170731707,01/31/2018 01:19 PM
100,SPY GUY,0000116,157478,6,2581,430.1666666666667,408.65833333333336,01/31/2018 01:19 PM
101,NOKIA 5300 CELL PHONE,0000116,120261,17,5375,316.1764705882353,300.36764705882354,01/31/2018 01:19 PM
102,T1 SMOKED VEAL,0000117,123851,64,2658,41.53125,39.4546875,01/31/2018 01:19 PM
103,TRACK SUIT LADIES,0000117,175423,44,8332,189.36363636363637,179.89545454545456,01/31/2018 01:19 PM
104,"OPAL STAPLER HD-10N,ASSRT CLR",0000117,130649,51,5417,106.2156862745098,100.90490196078431,01/31/2018 01:19 PM
105,G-006A+B+C,0000117,113165,77,9851,127.93506493506493,121.53831168831168,01/31/2018 01:19 PM
106,POPLIN TROUSER,0000117,113114,73,3440,47.12328767123287,44.76712328767123,02/02/2018 01:13 PM
107,SKIDS GIRLS SHIRT APPLIQ 5-12Y,0000118,111820,32,6463,201.96875,191.8703125,02/02/2018 01:13 PM
108,SALAM SPRIAL NOTE COPY #3,0000118,151753,43,3683,85.65116279069767,81.36860465116278,02/02/2018 01:13 PM
109,PELIKAN HAPPY PEN 1 PC,0000118,133837,85,3123,36.741176470588236,34.904117647058825,02/04/2018 05:22 PM
110,SKIDS BOYS SHIRT APPQ MRN 5-12,0000118,111829,45,5029,111.75555555555556,106.16777777777779,02/05/2018 01:49 PM
111,HERO CARD COPY 60 PAGES,0000118,130366,44,1637,37.20454545454545,35.34431818181818,02/05/2018 01:49 PM
112,DOLLAR POINTER 0.3MM BLUE 1X10,0000119,133835,98,2913,29.724489795918366,28.238265306122447,02/05/2018 01:49 PM
113,NOKIA 1680 CELL PHONE,0000119,137507,18,9079,504.3888888888889,479.1694444444445,02/05/2018 01:49 PM
114,"WIDESCREEN,16:9,5MS RESPONSE",0000119,126766,45,8535,189.66666666666666,180.18333333333334,02/05/2018 05:17 AM
115,SKIDS GIRLS SHIRT APPLIQ 5-12Y,0000119,111820,16,9854,615.875,585.08125,02/06/2018 06:50 PM
116,"TM MM OPTICAL MOUSE,MOP30",000012,131278,9,5904,656.0,623.2,02/06/2018 06:50 PM
117,T1 BEEF CHEESE SAUSAGES,000012,123850,32,1573,49.15625,46.6984375,02/06/2018 06:50 PM
118,PANASONIC HOME THEATRE HT-895,000012,113293,44,5950,135.22727272727272,128.4659090909091,02/06/2018 06:50 PM
119,"DC1.8,1GB,120GB,15.4"", LINUX",000012,126709,88,4238,48.15909090909091,45.75113636363636,02/08/2018 02:20 PM
120,DENIM SKIRT W /APPLIQUE PANEL,000012,145803,27,3042,112.66666666666667,107.03333333333333,02/08/2018 02:20 PM
121,FIRST AID BOX WTHOUT MEDICINE,000012,156023,75,1614,21.52,20.444,02/08/2018 02:20 PM
122,ARTICLE:82/86,0000120,116360,12,3685,307.0833333333333,291.72916666666663,02/09/2018 05:35 PM
123,MENS SWIMMING SHORT,0000120,135225,77,2269,29.467532467532468,27.994155844155845,02/09/2018 05:35 PM
124,NOKIA 2330,0000120,141971,78,470,6.0256410256410255,5.7243589743589745,02/09/2018 05:35 PM
125,SALAM SUBJECT SPRIAL COPY #6,0000120,151601,68,7673,112.83823529411765,107.19632352941177,02/09/2018 05:35 PM
126,KNITTED WITH FRILL,0000120,112085,68,4783,70.33823529411765,66.82132352941177,02/10/2018 09:01 PM
127,LINEN SHIRTS,0000121,113150,47,7523,160.06382978723406,152.06063829787234,02/10/2018 09:01 PM
128,NOKIA 6131 CELL PHONE,0000121,123763,15,9090,606.0,575.7,02/12/2018 06:29 PM
129,N97 CELL PHONE MINI,0000121,141977,14,4761,340.07142857142856,323.0678571428571,02/12/2018 06:29 PM
130,MENS TROUSER FRENCH TERRY,0000121,135224,95,2206,23.221052631578946,22.06,02/12/2018 06:29 PM
131,SAKURA ID CARD HOLDER,0000121,147942,52,534,10.26923076923077,9.755769230769232,02/12/2018 06:29 PM
132,MENS JOGGING TROUSER,0000121,171113,1,7553,7553.0,7175.35,02/12/2018 06:29 PM
133,32/64 BIT,0000122,126714,14,1191,85.07142857142857,80.81785714285714,02/12/2018 06:29 PM
134,2PC PILLAR CANDLE 60/130,0000122,144524,82,7265,88.59756097560975,84.16768292682926,02/14/2018 05:26 PM
135,"ACER 17"" MM LCD MONITOR 1717FS",0000122,126695,5,4269,853.8,811.1099999999999,02/14/2018 05:26 PM
136,POPLIN TROUSER,0000122,113114,20,6417,320.85,304.8075,02/14/2018 05:26 PM
137,PELIKAN STICKS BALLPOINT 6 PCS,0000123,133846,61,5161,84.60655737704919,80.37622950819673,02/14/2018 05:26 PM
138,"10.1"",1.6GHZ ATOM,1GB,160GB,WI",0000123,132576,97,7196,74.18556701030928,70.47628865979382,02/17/2018 06:35 AM
139,KNITTED TEES,0000123,113142,28,4339,154.96428571428572,147.21607142857144,02/17/2018 06:35 AM
140,NOKIA E61-I CELL PHONE,0000123,120723,68,1717,25.25,23.9875,02/17/2018 06:35 AM
141,AMOS GLITTER POWDER NEON,0000123,130370,12,6790,565.8333333333334,537.5416666666667,02/17/2018 06:35 AM
142,G-08A+B+C,0000123,113166,22,8157,370.77272727272725,352.23409090909087,02/17/2018 08:30 AM
143,"DC2.10,14.1"",3GB,320GB,BT,CAM,",0000124,126752,87,3644,41.88505747126437,39.79080459770115,02/17/2018 08:30 AM
144,NOKIA 1661,0000124,141658,52,5651,108.67307692307692,103.23942307692307,02/17/2018 08:30 AM
145,AW.AYS MICRO TROUSER ASSORTED,0000124,128193,28,8840,315.7142857142857,299.92857142857144,02/17/2018 08:30 AM
146,PILLAR CANDLE 80/150,0000124,144525,5,7037,1407.4,1337.0300000000002,02/18/2018 10:31 AM
147,"CLRS: OLIVE,BLACK,KHAKI",0000124,116342,82,2020,24.634146341463413,23.402439024390244,02/18/2018 10:31 AM
148,ENGINE OIL TREATMENT 15 OZ STP,0000124,126687,22,1853,84.22727272727273,80.01590909090909,02/18/2018 10:31 AM
149,T1 400GMX16 EVERYDAY JAR PROMO,0000125,231380,5,9490,1898.0,1803.1,02/18/2018 10:31 AM
150,206,0000125,113177,28,7284,260.14285714285717,247.1357142857143,02/18/2018 10:31 AM
151,RIZVI SPIRAL SUBJECT COPY #4,0000125,120808,86,4700,54.651162790697676,51.918604651162795,02/18/2018 10:31 AM
152,COTTON FROCKS,0000125,113089,36,5304,147.33333333333334,139.96666666666667,02/21/2018 01:45 AM
153,AMOS I FOAM SUNCATCHER 5 CLRS,0000125,130371,52,5787,111.28846153846153,105.72403846153846,02/21/2018 01:45 AM
154,RIZVI SPIRAL SUBJECT COPY #3,0000125,120806,79,1111,14.063291139240507,13.36012658227848,02/21/2018 01:45 AM
155,SKIDS MENS WOVEN BOXER XL,0000125,112081,52,5564,107.0,101.65,02/21/2018 05:53 AM
156,WOVEN SHIRT,0000125,113076,95,8091,85.16842105263157,80.91,02/21/2018 05:53 AM
157,250 ML RGB FANTA SHELL + BO,0000125,119295,6,328,54.666666666666664,51.93333333333333,02/21/2018 05:53 AM
158,SKIDS BOYS FLEECE HOOD BLUE 5-,0000126,111851,8,1391,173.875,165.18125,02/21/2018 05:53 AM
159,"CI3,2GB,320GB,KEYBOARD,MOUSE",0000126,144101,37,8454,228.48648648648648,217.06216216216217,02/21/2018 05:53 AM
160,RIZVI SPIRAL NOTECOPY #2,0000126,118604,9,9460,1051.111111111111,998.5555555555555,02/21/2018 05:53 AM
161,SKIDS GIRLS SHRT LACS PNK 5-12,0000126,111968,6,7410,1235.0,1173.25,02/21/2018 05:53 AM
162,SKIDS GIRLS SHRT FLR GRN 5-12Y,0000126,111955,23,8149,354.30434782608694,336.5891304347826,02/21/2018 05:53 AM
163,SEA BAM -W-,0000126,123735,20,6548,327.4,311.03,02/24/2018 03:21 PM
164,"C2S1.4,3GB,320GB,14"",VISTA,DVD",0000127,131265,83,479,5.771084337349397,5.482530120481927,02/24/2018 03:21 PM
165,SKIDS GIRLS SHRT FLR WHT 5-12Y,0000127,111954,29,4548,156.82758620689654,148.98620689655172,02/24/2018 03:21 PM
166,"CLRS:LIGHT BLUE , DK BLUE",0000127,116343,96,7468,77.79166666666667,73.90208333333334,02/24/2018 03:21 PM
167,NOKIA 5200 CELL PHONE,0000127,119936,98,8732,89.10204081632654,84.64693877551021,02/25/2018 03:58 PM
168,G-0711-A+B+C,0000127,113191,14,9526,680.4285714285714,646.4071428571428,02/25/2018 03:58 PM
169,SP,0000127,126029,34,5306,156.05882352941177,148.25588235294117,02/25/2018 03:58 PM
170,NOKIA E51,0000127,138928,98,7028,71.71428571428571,68.12857142857142,02/25/2018 03:58 PM
171,WOVEN CHECK SHIRT,0000128,111769,35,3966,113.31428571428572,107.64857142857143,02/25/2018 03:58 PM
172,2.13GH320GB BT WIFI LINUX DVD,0000128,121864,31,1224,39.483870967741936,37.50967741935484,02/25/2018 03:58 PM
173,DOLLAR POINTER 0.3MM BLUE 1X10,0000128,133835,72,9754,135.47222222222223,128.69861111111112,02/27/2018 03:52 PM
174,SOLID WOVEN SHIRT,0000128,113088,63,1931,30.650793650793652,29.11825396825397,02/27/2018 03:52 PM
175,TEA-LIGHT CANDLE 50,0000129,149067,72,7495,104.09722222222223,98.89236111111111,02/27/2018 03:52 PM
176,SKIDS BOYS SHIRT BLACK 5-12YR,0000129,111844,37,3378,91.29729729729729,86.73243243243243,03/01/2018 07:48 PM
177,"DC1.8,512,80GB, KB,MOUSE",0000129,126692,92,5034,54.71739130434783,51.981521739130436,03/01/2018 07:48 PM
178,EPSON CX2900 3 IN 1 PHOTO PRINTER,0000129,131066,34,2166,63.705882352941174,60.52058823529411,03/01/2018 07:48 PM
179,SKIDS GIRLS CAPRICE VOILET 5-1,0000129,111824,67,8393,125.26865671641791,119.00522388059701,03/01/2018 07:48 PM
180,"10.1"",1.6GHZ ATOM,1GB,160GB,WI",0000129,132576,76,2437,32.06578947368421,30.462500000000002,03/01/2018 07:48 PM
181,PANASONIC HIFI SC VK-31,0000130,113325,70,2004,28.62857142857143,27.197142857142858,03/01/2018 07:48 PM
182,PMP ROTATABLE PEN STAND,0000130,130376,40,4050,101.25,96.1875,03/02/2018 08:16 AM
183,"TFT65K,CAM,TALK5:20H,MEM 32MB,",0000130,141978,34,1439,42.3235294117647,40.20735294117647,03/02/2018 08:16 AM
184,"OS:ANDROID,10.1LED,1GBRAM,160G",0000131,136252,80,4172,52.15,49.5425,03/02/2018 08:16 AM
185,G-208,0000131,113185,55,9096,165.38181818181818,157.11272727272726,03/02/2018 08:16 AM
186,PW 1400K,0000131,111594,31,766,24.70967741935484,23.4741935483871,03/02/2018 08:16 AM
187,RIZVI SPIRAL SUBJECT COPY #5,0000131,125872,50,8069,161.38,153.311,03/02/2018 08:16 AM
188,SCOTCH EX CLASSIC PENCIL W/ERASER,0000131,147948,25,6493,259.72,246.73400000000004,03/02/2018 08:16 AM
189,A6034,0000132,123519,93,1724,18.537634408602152,17.610752688172045,03/02/2018 08:16 AM
190,ACER ASPIRE 5920-5A1G16MI,0000132,126710,25,2890,115.6,109.82,03/02/2018 08:16 AM
191,SKIDS BOYS BOXERS LONG WVN 9-1,0000132,112019,44,9128,207.45454545454547,197.0818181818182,03/07/2018 05:14 AM
192,"TROUSER 34""  WAIST",0000132,116371,67,5885,87.83582089552239,83.44402985074628,03/07/2018 05:14 AM
193,PANASONIC CD-MP3 PLAYER CQ-330,0000132,239411,1,4740,4740.0,4503.0,03/07/2018 05:14 AM
194,WHITE BOARD 8' X 4',0000133,130652,9,5318,590.8888888888889,561.3444444444444,03/09/2018 08:55 AM
195,RIZVI SPIRAL SUBJECT COPY #3,0000133,120806,23,8340,362.60869565217394,344.47826086956525,03/09/2018 08:55 AM
196,"3PC HOUSEHOLD CANDLE 8""",0000133,144521,70,7450,106.42857142857143,101.10714285714286,03/09/2018 08:55 AM
197,"GLOBE 10"" BLUE OCEAN WITH LIGHT",0000133,130378,78,5049,64.73076923076923,61.49423076923077,03/09/2018 08:55 AM
198,NOKIA 1203,0000133,141975,13,7350,565.3846153846154,537.1153846153846,03/09/2018 08:55 AM
199,FUEL INJECTOR CLEANER 12OZ STP,0000133,113197,1,4820,4820.0,4579.0,03/09/2018 08:55 AM
200,SNOWMAN PERMANENT MARKER90 BLUE,0000134,130398,57,2149,37.70175438596491,35.81666666666666,03/09/2018 08:55 AM
201,"ANGLE GRINDER 2100W 7"" BOSCH",0000135,156031,71,5392,75.94366197183099,72.14647887323945,03/09/2018 08:55 AM
202,L/S KNITTED LADY  CREW NECK,0000135,153967,56,3481,62.160714285714285,59.05267857142857,03/15/2018 11:55 PM
203,SKIDS BOYS SLVLESS WHITE 5-12,0000136,112032,30,3459,115.3,109.535,03/15/2018 11:55 PM
204,FAIRLINE HAND TOWEL 50X100CM,0000136,123535,34,2542,74.76470588235294,71.0264705882353,03/15/2018 11:55 PM
205,"DC1.8,512,80GB, KB,MOUSE.SPKR,",0000136,126699,92,9506,103.32608695652173,98.15978260869565,03/15/2018 11:55 PM
206,3PC SQAURE CANDLE SET,0000136,147516,60,8144,135.73333333333332,128.94666666666666,03/15/2018 11:55 PM
207,TOUCHMATE 5.1 DIGITAL SPEAKER,0000136,121871,25,1223,48.92,46.474000000000004,03/24/2018 02:36 AM
208,TOUCHMATE NOTEBOOK COOLER PAD,0000137,102943,71,8347,117.56338028169014,111.68521126760564,03/24/2018 02:36 AM
209,CAMOUFLAGE PANT,0000137,159855,93,8464,91.01075268817205,86.46021505376345,03/24/2018 02:36 AM
210,ABEERAZ MEN'S PIQUE POLO S/XL,0000137,131055,59,643,10.898305084745763,10.353389830508474,03/24/2018 02:36 AM
211,NOKIA 6555,0000137,138926,24,5721,238.375,226.45625,03/24/2018 02:36 AM
212,250 ML RGB FANTA CITRUS SHELL+BO,0000137,119296,57,3598,63.12280701754386,59.96666666666667,03/24/2018 02:36 AM
213,N97 CELL PHONE MINI,0000137,141977,65,8034,123.6,117.41999999999999,03/28/2018 05:49 AM
214,32 BIT OEM WITH DVD,0000138,161137,62,6888,111.09677419354838,105.54193548387096,03/28/2018 05:49 AM
215,NOKIA 1662,0000138,141700,84,6033,71.82142857142857,68.23035714285714,03/28/2018 05:49 AM
216,"CLRS: KHAKI , GREY",0000138,116340,17,2782,163.64705882352942,155.46470588235294,03/28/2018 05:49 AM
217,AMOS I DOUGH 8 COLORS,0000138,130372,25,8090,323.6,307.42,03/28/2018 05:49 AM
218,"OPAL STAPLER HD-10N,ASSRT CLR",0000139,130649,23,3086,134.17391304347825,127.46521739130434,03/28/2018 05:49 AM
219,POLO,0000139,113134,37,1941,52.45945945945946,49.836486486486486,03/29/2018 01:58 AM
220,"TROUSER 32""-40"" WAIST",0000139,116364,37,2903,78.45945945945945,74.53648648648648,03/29/2018 01:58 AM
221,SPY GUY,0000139,157478,19,9917,521.9473684210526,495.84999999999997,03/29/2018 01:58 AM
222,SKIDS BOYS SHIRT APPQ MRN 5-12,0000139,111829,90,909,10.1,9.594999999999999,03/29/2018 01:58 AM
223,SNOWMAN PERMANENT MARKER70 BLUE,000014,130384,29,3091,106.58620689655173,101.25689655172414,03/29/2018 01:58 AM
224,LETTERING STENCIL 20MM,000014,130379,81,8293,102.38271604938272,97.26358024691359,03/29/2018 01:58 AM
